node,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,shortest_time_min,best_station_column,best_station_number
21466141,23.580055302040485,25.800275013135288,14.562634167281614,24.48747280494647,9.248485494686745,27.990543711592736,13.392627875549609,17.54653266056133,17.400391771664143,18.393476333080606,28.73120321472105,18.576036801570307,9.248485494686745,station_5,5.0
21466145,19.106244998689167,21.326464709783973,10.088823863930294,20.013662501595153,13.917574126841588,23.516733408241418,8.91881757219829,13.072722357210006,12.926581468312826,13.919666029729285,24.25739291136973,14.102226498218988,8.91881757219829,station_7,7.0
277179184,,,,,,,,,,,,,,,
277179204,,,,,,,,,,,,,,,
526407104,,,,,,,,,,,,,,,
526407249,,,,,,,,,,,,,,,
526407293,,,,,,,,,,,,,,,
1256967684,20.327063000176214,22.54728271127102,11.30964186541735,21.2344805030822,4.463296924508819,24.737551409728464,10.139635573685345,14.293540358697062,14.14739946979988,15.14048403121634,25.478210912856778,15.323044499706043,4.463296924508819,station_5,5.0
1257783034,26.831425408023325,29.051645119118135,16.87657970642254,27.738842910929314,11.905096938003958,31.241913817575583,16.64399798153245,20.79790276654417,20.65176187764699,17.781862312419197,31.982573320703896,21.827406907553147,11.905096938003958,station_5,5.0
1257783060,25.615538798591608,27.835758509686418,15.660693096990824,26.522956301497597,10.689210328572242,30.026027208143866,15.428111372100735,19.582016157112452,19.435875268215273,16.56597570298748,30.76668671127218,20.61152029812143,10.689210328572242,station_5,5.0
1257783084,26.622099483805826,28.84231919490064,16.66725378220504,27.52951698671182,11.69577101378646,31.032587893358084,16.434672057314952,20.588576842326674,20.44243595342949,17.572536388201698,31.773247396486397,21.61808098333565,11.69577101378646,station_5,5.0
1257783104,26.221486782741803,28.441706493836612,16.26664108114102,27.128904285647796,11.295158312722439,30.63197519229406,16.034059356250932,20.187964141262647,20.041823252365468,17.171923687137678,31.372634695422374,21.217468282271625,11.295158312722439,station_5,5.0
1257783106,25.718023206305638,27.938242917400448,15.763177504704856,26.625440709211627,10.791694736286274,30.128511615857896,15.530595779814767,19.684500564826482,19.538359675929303,16.66846011070151,30.86917111898621,20.71400470583546,10.791694736286274,station_5,5.0
1578754100,19.68906337713886,21.90928308823367,10.671642242379994,20.59648088004485,5.013685373767902,24.099551786691116,9.501635950647989,13.655540735659706,13.509399846762525,14.502484408178985,24.84021128981943,14.685044876668687,5.013685373767902,station_5,5.0
1578754105,19.643492724452177,21.863712435546983,10.626071589693309,20.550910227358163,5.035799926327578,24.053981134004427,9.456065297961304,13.60997008297302,13.463829194075839,14.4569137554923,24.79464063713274,14.639474223982003,5.035799926327578,station_5,5.0
1578754120,19.667082693862028,21.887302404956834,10.64966155910316,20.574500196768017,4.99170469049107,24.077571103414282,9.479655267371156,13.633560052382872,13.487419163485692,14.480503724902151,24.818230606542595,14.663064193391854,4.99170469049107,station_5,5.0
1578754127,19.630549205518427,21.850768916613234,10.61312807075956,20.537966708424413,5.022856407393828,24.04103761507068,9.443121779027555,13.597026564039272,13.450885675142091,14.44397023655855,24.781697118198995,14.626530705048253,5.022856407393828,station_5,5.0
1578754142,19.653729509448716,21.873949220543523,10.636308374689849,20.561147012354702,5.046036711324117,24.064217919000967,9.466302082957842,13.620206867969559,13.474065979072378,14.467150540488838,24.80487742212928,14.64971100897854,5.046036711324117,station_5,5.0
1578754154,19.679019898976378,21.899239610071184,10.66159876421751,20.586437401882367,5.003641895605418,24.089508308528632,9.491592472485506,13.645497257497222,13.499356368600042,14.492440930016501,24.830167811656946,14.675001398506204,5.003641895605418,station_5,5.0
1578756370,19.482138732238653,21.702358443333463,10.464717597479783,20.389556235144642,5.150568924884914,23.892627141790907,9.294711305747777,13.448616090759494,13.302475201862313,14.295559763278773,24.63328664491922,14.478120231768477,5.150568924884914,station_5,5.0
1578756391,19.517547775816546,21.737767486911356,10.500126641057676,20.424965278722535,5.185977968462809,23.9280361853688,9.330120349325671,13.484025134337388,13.337884245440206,14.330968806856667,24.668695688497113,14.51352927534637,5.185977968462809,station_5,5.0
1578756400,19.530171786428642,21.75039149752345,10.512750651669771,20.437589289334632,5.127557391756545,23.940660195980897,9.342744359937766,13.496649144949483,13.350508256052303,14.343592817468762,24.68131969910921,14.526153285958465,5.127557391756545,station_5,5.0
1578756423,19.507830616220485,21.728050327315295,10.490409481461615,20.415248119126474,5.176260808866747,23.91831902577274,9.320403189729609,13.474307974741325,13.328167085844145,14.321251647260604,24.658978528901052,14.503812115750309,5.176260808866747,station_5,5.0
1578756425,19.469312849652475,21.689532560747285,10.451891714893607,20.376730352558464,5.137743042298739,23.87980125920473,9.281885423161603,13.43579020817332,13.289649319276139,14.282733880692598,24.620460762333042,14.465294349182301,5.137743042298739,station_5,5.0
1578756426,19.491774354576457,21.711994065671263,10.474353219817582,20.399191857482442,5.160204547222715,23.902262764128707,9.304346928085577,13.458251713097294,13.312110824200113,14.305195385616573,24.64292226725702,14.487755854106275,5.160204547222715,station_5,5.0
1578757885,20.212641416009788,22.432861127104598,11.195220281250922,21.120058918915777,4.52544620578334,24.623129825562042,10.025213989518916,14.179118774530632,14.032977885633452,15.026062447049913,25.363789328690356,15.208622915539616,4.52544620578334,station_5,5.0
1578757900,20.268411082445496,22.488630793540306,11.250989947686632,21.175828585351486,4.404645006778102,24.67889949199775,10.080983655954627,14.234888440966342,14.088747552069162,15.081832113485623,25.419558995126064,15.264392581975326,4.404645006778102,station_5,5.0
1578757902,20.2592455339157,22.479465245010505,11.241824399156833,21.166663036821685,4.395479458248305,24.669733943467953,10.071818107424829,14.225722892436545,14.079582003539365,15.072666564955824,25.410393446596267,15.255227033445527,4.395479458248305,station_5,5.0
1578757916,20.18972583168348,22.40994554277829,11.172304696924613,21.097143334589468,4.50253062145703,24.600214241235733,10.002298405192608,14.156203190204325,14.010062301307142,15.003146862723604,25.340873744364046,15.185707331213306,4.50253062145703,station_5,5.0
1578757929,20.174607383950608,22.394827095045414,11.157186249191742,21.082024886856594,4.48741217372416,24.585095793502862,9.987179957459738,14.141084742471454,13.994943853574274,14.988028414990733,25.325755296631176,15.170588883480436,4.48741217372416,station_5,5.0
1578757931,20.323879496736392,22.544099207831202,11.306458361977528,21.23129699964238,4.460113421068998,24.734367906288647,10.136452070245523,14.29035685525724,14.14421596636006,15.13730052777652,25.47502740941696,15.319860996266222,4.460113421068998,station_5,5.0
1594370421,19.803739125002277,22.023958836097087,10.78631799024341,20.711156627908267,5.1283611216313165,24.21422753455453,9.616311698511403,13.77021648352312,13.624075594625939,14.617160156042399,24.954887037682845,14.799720624532103,5.1283611216313165,station_5,5.0
1790003079,19.538824837179718,21.759044548274524,10.521403702420844,20.446242340085703,5.207255029825976,23.94931324673197,9.351397410688838,13.505302195700555,13.359161306803374,14.352245868219834,24.68997274986028,14.534806336709538,5.207255029825976,station_5,5.0
1893886828,21.855534338083626,24.075754049178435,12.838113203324758,22.762951840989615,7.523964530729889,26.26602274763588,11.668106911592753,15.82201169660447,15.67587080770729,16.668955369123747,27.006682250764193,16.85151583761345,7.523964530729889,station_5,5.0
2534639286,21.63287711121375,23.853096822308558,12.615455976454887,22.540294614119738,5.7691110355463575,26.043365520766006,11.445449684722883,15.5993544697346,15.453213580837419,16.446298142253877,26.78402502389432,16.62885861074358,5.7691110355463575,station_5,5.0
2534639295,21.921146606969867,24.141366318064676,12.903725472211006,22.828564109875856,6.057380531302474,26.33163501652212,11.733719180479001,15.887623965490718,15.741483076593537,16.73456763801,27.072294519650434,16.9171281064997,6.057380531302474,station_5,5.0
2534639296,21.998575537560846,24.218795248655656,12.981154402801984,22.905993040466836,6.134809461893451,26.4090639471131,11.811148111069977,15.965052896081694,15.818912007184514,16.811996568600975,27.149723450241414,16.994557037090676,6.134809461893451,station_5,5.0
