node,shortest_time_min,best_station_column,best_station_number
21466141,9.248485494686745,station_5,5.0
21466145,8.91881757219829,station_7,7.0
277179184,,,
277179204,,,
526407104,,,
526407249,,,
526407293,,,
1256967684,4.463296924508819,station_5,5.0
1257783034,11.905096938003958,station_5,5.0
1257783060,10.689210328572242,station_5,5.0
1257783084,11.69577101378646,station_5,5.0
1257783104,11.295158312722439,station_5,5.0
1257783106,10.791694736286274,station_5,5.0
1578754100,5.013685373767902,station_5,5.0
1578754105,5.035799926327578,station_5,5.0
1578754120,4.99170469049107,station_5,5.0
1578754127,5.022856407393828,station_5,5.0
1578754142,5.046036711324117,station_5,5.0
1578754154,5.003641895605418,station_5,5.0
1578756370,5.150568924884914,station_5,5.0
1578756391,5.185977968462809,station_5,5.0
1578756400,5.127557391756545,station_5,5.0
1578756423,5.176260808866747,station_5,5.0
1578756425,5.137743042298739,station_5,5.0
1578756426,5.160204547222715,station_5,5.0
1578757885,4.52544620578334,station_5,5.0
1578757900,4.404645006778102,station_5,5.0
1578757902,4.395479458248305,station_5,5.0
1578757916,4.50253062145703,station_5,5.0
1578757929,4.48741217372416,station_5,5.0
1578757931,4.460113421068998,station_5,5.0
1594370421,5.1283611216313165,station_5,5.0
1790003079,5.207255029825976,station_5,5.0
1893886828,7.523964530729889,station_5,5.0
2534639286,5.7691110355463575,station_5,5.0
2534639295,6.057380531302474,station_5,5.0
2534639296,6.134809461893451,station_5,5.0
2534639304,5.849192045295499,station_5,5.0
2534639316,4.434193008507082,station_5,5.0
2534642594,5.94564474711125,station_5,5.0
2534836824,11.563479646039584,station_5,5.0
2535251896,4.7331667517340525,station_5,5.0
2535251897,4.530552655985582,station_5,5.0
3089093862,5.76057536797084,station_5,5.0
3368232197,5.810122310852086,station_5,5.0
3368232198,5.726430356200455,station_5,5.0
3368232207,6.087291769809119,station_5,5.0
3428588059,4.4273986757292905,station_5,5.0
3428588060,4.473268348455504,station_5,5.0
3502449116,6.136322193213309,station_5,5.0
3502449123,6.48786723409893,station_5,5.0
3502449131,6.761949754627371,station_5,5.0
3668192214,5.240038465773677,station_5,5.0
3668192219,4.731445846152486,station_5,5.0
3668192221,4.486139051839516,station_5,5.0
3668192222,4.4653682031791595,station_5,5.0
3668194127,4.671148792488728,station_5,5.0
3668194128,3.7891242496810125,station_5,5.0
4352716144,9.384150904464574,station_5,5.0
4352716153,5.2949405484573155,station_5,5.0
6449822127,5.267416513439892,station_5,5.0
6449822133,5.085995325605353,station_5,5.0
6449822170,5.997733545171812,station_5,5.0
6449822181,6.313544986568345,station_5,5.0
6449822183,6.43194338579411,station_5,5.0
6449822890,6.650479398529489,station_5,5.0
6988033845,6.8913126757315855,station_5,5.0
6988034929,7.055568241455125,station_5,5.0
6988034930,7.226514111263792,station_5,5.0
6988034934,7.2606181814190665,station_5,5.0
7017982700,4.363949170164535,station_5,5.0
8462222583,6.525870742955205,station_5,5.0
8462222585,6.716130054214771,station_5,5.0
8818987001,11.022369627466512,station_5,5.0
10886503879,5.168476939972702,station_5,5.0
10886503881,5.109509597320011,station_5,5.0
10886503885,5.031804080320878,station_5,5.0
10886503888,4.944734545354672,station_5,5.0
10886503891,4.49861481513547,station_5,5.0
10886503892,4.433962795623256,station_5,5.0
10886503894,4.557071242703894,station_5,5.0
11091183917,6.404306156603628,station_5,5.0
12171360131,2.843329913819849,station_5,5.0
12171380620,5.831223701993053,station_5,5.0
13596685643,5.617000380770372,station_5,5.0
13596685649,5.539130589874883,station_5,5.0
13596685650,5.481752294451379,station_5,5.0
13596739301,6.15544728581745,station_5,5.0
13596739302,6.066744691006195,station_5,5.0
13596739303,6.168579963978744,station_5,5.0
13596739304,6.0740923979290065,station_5,5.0
13596739311,6.008717741843891,station_5,5.0
13596739312,5.926100236605901,station_5,5.0
13599487293,5.582573641028205,station_5,5.0
13599487297,5.663698283088739,station_5,5.0
994063985,5.359107265342895,station_5,5.0
994063986,5.316254410979291,station_5,5.0
994063990,5.449475107259251,station_5,5.0
994063993,5.669502156921139,station_5,5.0
994063994,5.469041429906389,station_5,5.0
994063995,5.489430358521662,station_5,5.0
994063997,5.331946186697672,station_5,5.0
994063998,5.1845387497450215,station_5,5.0
994063999,4.927904306751647,station_5,5.0
994070586,5.419535632986476,station_5,5.0
994070597,5.016959848096383,station_5,5.0
994070608,4.883558294334653,station_5,5.0
994070612,4.798511558267744,station_5,5.0
994070630,5.087457594900467,station_5,5.0
994070665,5.530968371838255,station_5,5.0
994070670,5.267093266687226,station_5,5.0
995365677,4.530184673170772,station_5,5.0
995365712,5.857897444640191,station_5,5.0
3361574812,5.462511249010263,station_5,5.0
3937945648,6.394811182934051,station_5,5.0
3937979369,5.429027227659162,station_5,5.0
5718693445,6.454450431066846,station_5,5.0
5718693447,6.395690373339404,station_5,5.0
7009901559,5.9459536790985235,station_5,5.0
7009901564,5.737257508370366,station_5,5.0
7009901570,5.710893147496242,station_5,5.0
7009901571,5.587959994268927,station_5,5.0
7009901574,5.350578116449336,station_5,5.0
7009901655,5.141309188863529,station_5,5.0
7009901659,5.287928918128626,station_5,5.0
9480449110,5.051204741506764,station_5,5.0
9480449116,4.993401846222097,station_5,5.0
21460266,2.6771532198775305,station_1,1.0
21460275,4.908497098127697,station_1,1.0
21460333,0.9860235409019358,station_7,7.0
21460336,1.0450885874115374,station_7,7.0
21460339,1.4579818955034194,station_7,7.0
21460350,3.0405433514654114,station_7,7.0
21460358,1.8645211951084066,station_3,3.0
21460361,1.3869330958588837,station_3,3.0
21461217,2.353376692930682,station_12,12.0
21461239,0.8472903309474531,station_9,9.0
21461293,0.7284660492955763,station_8,8.0
21461298,0.5463628714701999,station_8,8.0
21461302,0.9668038654889729,station_8,8.0
21461307,1.3189430264639208,station_8,8.0
21461309,1.4471529982770006,station_8,8.0
21461345,4.631305911771273,station_7,7.0
21461369,2.269364768585365,station_1,1.0
272337859,0.889942105570592,station_3,3.0
272339951,7.326554731128023,station_3,3.0
272597251,5.367558328721861,station_7,7.0
272597254,8.69553069361592,station_5,5.0
272597258,9.251358950889804,station_5,5.0
272597261,5.454854482508007,station_7,7.0
272597269,5.033867128799456,station_3,3.0
272597295,3.8467318656389553,station_3,3.0
272597322,2.0368088592420843,station_3,3.0
272600855,2.8194860389407856,station_12,12.0
272600858,2.3914060424909107,station_12,12.0
277179257,6.557614986244493,station_5,5.0
277179300,7.21932805292594,station_5,5.0
277358118,5.419289880045695,station_7,7.0
277358155,6.746957756538575,station_7,7.0
277358171,8.061957747877416,station_7,7.0
278836508,2.4017618869918653,station_2,2.0
278836516,0.7830131912294814,station_2,2.0
283068074,2.3098350658263445,station_4,4.0
283069694,1.0379904971973601,station_4,4.0
283069698,1.0658135796555432,station_4,4.0
283069701,1.1082858815393062,station_4,4.0
283069705,1.132564001244166,station_4,4.0
283069724,0.9972630742870188,station_4,4.0
283069731,1.1083294759661697,station_4,4.0
283074796,0.2227664138599224,station_4,4.0
283074818,0.22865150233835205,station_4,4.0
283074895,1.0224719444688963,station_4,4.0
283074935,0.9795230136152208,station_4,4.0
283075015,3.468841747579974,station_4,4.0
283075045,2.20422924986743,station_6,6.0
283075052,2.170921556405319,station_6,6.0
283075056,1.7619996783366867,station_6,6.0
283075057,1.7219497654876486,station_6,6.0
299124517,6.676547258058465,station_7,7.0
299124567,8.272204302399768,station_5,5.0
299124591,6.9859669560631,station_5,5.0
299124628,5.315139380851995,station_5,5.0
299124633,4.653440193703693,station_5,5.0
338718807,7.0812936116914384,station_5,5.0
338718881,,,
338718912,7.685649798264825,station_7,7.0
338718953,1.9179370579909791,station_7,7.0
338718974,1.6393046608486586,station_7,7.0
338718989,1.6761123821430362,station_7,7.0
